Year	Chla	Secchi	DIN	PO4
1850	0.975656208	6.953293425	3.399013571	0.380321613
1851	0.9937137	6.937102051	2.760002476	0.305954129
1852	0.867537067	7.051827533	3.019375667	0.311684226
1853	0.87167115	7.048008918	2.730807857	0.306961925
1854	0.642988558	7.265621301	2.804399167	0.298929871
1855	0.949103108	6.977238543	3.060710286	0.364432183
1856	0.770314183	7.142837073	2.772346714	0.311191151
1857	0.885052175	7.035677198	3.01923619	0.338868333
1858	0.72930025	7.181936499	2.97300131	0.326452419
1859	0.818420808	7.097513649	2.776876452	0.32855628
1860	0.775999758	7.137450356	2.397626167	0.273955355
1861	0.551896567	7.356024606	2.593112786	0.296047086
1862	1.061008433	6.877409451	3.058714548	0.361135806
1863	0.900642283	7.021363718	2.875337667	0.318914806
1864	0.68816825	7.221578021	2.724635667	0.289912161
1865	0.760511967	7.152143108	2.476161857	0.281171774
1866	0.935255475	6.989790992	2.88370381	0.334540495
1867	0.704768458	7.20552727	2.721761548	0.301650753
1868	0.507588608	7.400765956	2.405755405	0.275422075
1869	0.933060333	6.991784933	2.763517714	0.334810097
1870	0.897880433	7.023895182	2.535762262	0.298882516
1871	0.756030917	7.156405387	2.403592286	0.281533108
1872	0.773317242	7.139990858	2.778759952	0.299995075
1873	0.7250915	7.1859729	2.628380667	0.298883086
1874	0.879228467	7.041038938	3.153546667	0.367935054
1875	0.695285967	7.214687243	2.675505452	0.290556022
1876	0.8876427	7.03329478	2.652491286	0.310950688
1877	0.739483967	7.172188433	2.495841286	0.284352914
1878	0.89017985	7.030963006	2.544438976	0.328110011
1879	0.718868033	7.191949782	2.679249738	0.310265559
1880	0.893114133	7.028268165	2.760386	0.321105441
1881	0.903095725	7.019116458	3.056871595	0.349247204
1882	0.968862125	6.959404723	3.014087119	0.359507914
1883	0.629213025	7.279155159	2.437290976	0.266098505
1884	0.801125383	7.113742196	3.119797048	0.338801344
1885	0.872421958	7.047315846	2.923647071	0.336807452
1886	0.969722133	6.958630556	3.008181476	0.34619743
1887	0.809065133	7.106283024	2.804492619	0.311915161
1888	0.780360233	7.133324574	2.886439167	0.333421065
1889	0.77698845	7.136514461	3.041083238	0.346703903
1890	0.8534246	7.064894229	3.087243595	0.33747428
1891	0.9638874	6.96388624	2.886655024	0.331159
1892	1.063277367	6.875414368	2.99481881	0.332330634
1893	0.667567367	7.241595466	2.976706857	0.303247269
1894	0.86597385	7.053272537	3.140270643	0.355334892
1895	1.049369067	6.887661807	2.734590262	0.317312333
1896	0.822102983	7.094068151	2.736056952	0.326708097
1897	0.8057945	7.1093538	2.879337548	0.342509946
1898	1.005238267	6.926807275	2.994538619	0.359042323
1899	0.90301505	7.019190331	2.759324262	0.337089452
1900	0.967805942	6.960355716	3.126733214	0.342730161
1901	0.616758567	7.291433356	2.517214405	0.291220495
1902	0.765035425	7.147845622	2.939081976	0.35081272
1903	0.716330592	7.194389519	2.512122643	0.322460699
1904	0.967057992	6.96102933	2.666106905	0.304147645
1905	1.064595	6.874256286	3.280887	0.370927473
1906	1.073599625	6.866352204	2.89449619	0.340826742
1907	0.846164375	7.071635286	2.91206269	0.326273839
1908	0.813836742	7.10180774	2.583081262	0.286938108
1909	1.125466767	6.821166275	3.245795119	0.397762613
1910	0.740565817	7.17115441	3.194634786	0.343805591
1911	0.871199233	7.048444615	3.077082952	0.374271731
1912	0.857950917	7.060698066	2.94704119	0.370430452
1913	0.889831892	7.031282707	2.650618214	0.346351258
1914	1.059263158	6.878944848	3.365596952	0.396867903
1915	1.119004483	6.826764641	2.685346381	0.342852817
1916	1.096177658	6.846611293	2.594662881	0.339627086
1917	0.934986383	6.990035359	2.947759119	0.349410258
